Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Market sell,2023-11-13 15:03:45,US22041X1028,CRSR,"Corsair Gaming",2.0238850000,12.07,USD,1.22532,-34.06,"GBP",19.91,"GBP",,,,,,EOF6050377578,0.03,"GBP"
Market buy,2023-11-13 15:04:19,US88160R1014,TSLA,"Tesla",0.0090662000,216.22,USD,1.22520,,"GBP",1.60,"GBP",,,,,,EOF6050377778,,
Market buy,2023-11-13 15:04:19,DE0005190003,BMW,"Bayerische Motoren Werke",0.0251080000,91.78,EUR,1.14655,,"GBP",2.01,"GBP",,,,,,EOF6050377783,,
Market buy,2023-11-13 15:04:19,DE0007100000,MBG,"Mercedes-Benz",0.0325130000,56.42,EUR,1.14655,,"GBP",1.60,"GBP",,,,,,EOF6050377786,,
Market buy,2023-11-13 15:04:19,US86959K1051,SUZ,"Suzano",0.1350040000,10.89,USD,1.22519,,"GBP",1.20,"GBP",,,,,,EOF6050377789,,
Market buy,2023-11-13 15:04:19,US3453708600,F,"Ford Motor",0.4021200000,9.78,USD,1.22520,,"GBP",3.21,"GBP",,,,,,EOF6050377792,,
Market buy,2023-11-13 15:04:19,US37045V1008,GM,"General Motors",0.1106700000,26.68,USD,1.22520,,"GBP",2.41,"GBP",,,,,,EOF6050377795,,
Market buy,2023-11-13 15:04:20,US9288541082,VLVLY,"Volvo",0.1685160000,20.43,USD,1.22519,,"GBP",2.81,"GBP",,,,,,EOF6050377802,,
Market buy,2023-11-13 15:04:21,DE0007664005,VOW,"Volkswagen",0.0237993000,116.10,EUR,1.14655,,"GBP",2.41,"GBP",,,,,,EOF6050377809,,
Market buy,2023-11-13 15:04:22,US8923313071,TM,"Toyota Motor",0.0104974000,186.74,USD,1.22520,,"GBP",1.60,"GBP",,,,,,EOF6050377812,,
Market buy,2023-11-13 16:13:02,USY384721251,HYUD,"Hyundai Motor",0.0377940000,38.90,USD,1.22520,,"GBP",1.20,"GBP",,,,,,EOF6050389671,,
Dividend (Dividend),2023-11-14 11:58:52,US8825081040,TXN,"Texas Instruments",0.3295623000,1.11,USD,Not available,,,0.30,"GBP",0.06,USD,,,,,,
Dividend (Dividend),2023-11-16 13:32:13,US0378331005,AAPL,"Apple",0.5088623000,0.20,USD,Not available,,,0.08,"GBP",0.02,USD,,,,,,
Dividend (Dividend),2023-11-21 14:11:22,USY384721251,HYUD,"Hyundai Motor",0.3931210000,0.44,USD,Not available,,,0.14,"GBP",0.05,USD,,,,,,
Dividend (Dividend),2023-11-28 12:54:14,US7960508882,SMSN,"Samsung Electronics",0.0263212900,5.42,USD,Not available,,,0.11,"GBP",0.04,USD,,,,,,
Market sell,2023-11-28 16:55:33,US0378331005,AAPL,"Apple",0.2062862000,190.77,USD,1.27065,1.02,"GBP",30.92,"GBP",,,,,,EOF6700946546,0.05,"GBP"
Market sell,2023-11-28 16:55:33,US19260Q1076,COIN,"Coinbase",0.4294380000,127.00,USD,1.27065,12.97,"GBP",42.86,"GBP",,,,,,EOF6700946554,0.06,"GBP"
Market sell,2023-11-28 16:55:33,US0231351067,AMZN,"Amazon",0.2169836000,147.13,USD,1.27064,1.16,"GBP",25.08,"GBP",,,,,,EOF6700946552,0.04,"GBP"
Market sell,2023-11-28 16:55:33,US5949181045,MSFT,"Microsoft",0.1843106000,382.20,USD,1.27064,7.74,"GBP",55.36,"GBP",,,,,,EOF6700946548,0.08,"GBP"
Market sell,2023-11-28 16:55:34,US70450Y1038,PYPL,"PayPal",0.4730890000,57.40,USD,1.27064,-2.59,"GBP",21.34,"GBP",,,,,,EOF6700946557,0.03,"GBP"
Market sell,2023-11-28 16:55:34,US67066G1040,NVDA,"NVIDIA",0.0595103000,480.01,USD,1.27065,1.51,"GBP",22.45,"GBP",,,,,,EOF6700946562,0.03,"GBP"
Market sell,2023-11-28 16:55:34,US02079K3059,GOOGL,"Alphabet (Class A)",0.3251727000,136.64,USD,1.27065,2.02,"GBP",34.92,"GBP",,,,,,EOF6700946556,0.05,"GBP"
Market sell,2023-11-28 16:55:38,US83570H1086,SONO,"Sonos",1.5873380000,14.84,USD,1.27071,-2.43,"GBP",18.51,"GBP",,,,,,EOF6700946570,0.03,"GBP"
Market sell,2023-11-28 16:55:58,US86959K1051,SUZ,"Suzano",1.6769550000,10.92,USD,1.27083,0.78,"GBP",14.39,"GBP",,,,,,EOF6700946633,0.02,"GBP"
Market sell,2023-11-28 16:55:58,US88160R1014,TSLA,"Tesla",0.0903831000,241.63,USD,1.27081,-0.99,"GBP",17.16,"GBP",,,,,,EOF6700946631,0.03,"GBP"
Market sell,2023-11-28 16:55:58,US3453708600,F,"Ford Motor",3.6528260000,10.39,USD,1.27083,-6.50,"GBP",29.82,"GBP",,,,,,EOF6700946635,0.04,"GBP"
Market sell,2023-11-28 16:55:58,US37045V1008,GM,"General Motors",0.9705590000,28.75,USD,1.27084,-5.31,"GBP",21.93,"GBP",,,,,,EOF6700946637,0.03,"GBP"
Market sell,2023-11-28 16:56:02,US8356993076,SONY,"Sony",0.2515570000,87.41,USD,1.27085,-0.67,"GBP",17.27,"GBP",,,,,,EOF6700946645,0.03,"GBP"
Market sell,2023-11-28 16:56:03,US67066G1040,NVDA,"NVIDIA",0.1246685000,480.02,USD,1.27073,3.16,"GBP",47.02,"GBP",,,,,,EOF6700946671,0.07,"GBP"
Market sell,2023-11-28 16:56:03,US8825081040,TXN,"Texas Instruments",0.3295623000,152.61,USD,1.27074,-4.35,"GBP",39.52,"GBP",,,,,,EOF6700946679,0.06,"GBP"
Market sell,2023-11-28 16:56:03,US4581401001,INTC,"Intel",1.6235770000,44.17,USD,1.27074,12.50,"GBP",56.35,"GBP",,,,,,EOF6700946675,0.08,"GBP"
Market sell,2023-11-28 16:56:03,US0378331005,AAPL,"Apple",0.3025761000,190.81,USD,1.27073,1.50,"GBP",45.36,"GBP",,,,,,EOF6700946665,0.07,"GBP"
Market sell,2023-11-28 16:56:03,US7475251036,QCOM,"Qualcomm",0.4734816000,126.93,USD,1.27074,3.36,"GBP",47.22,"GBP",,,,,,EOF6700946667,0.07,"GBP"
Market sell,2023-11-28 16:56:03,US0079031078,AMD,"Advanced Micro Devices",0.4897764000,122.10,USD,1.27074,3.13,"GBP",46.99,"GBP",,,,,,EOF6700946672,0.07,"GBP"
Market sell,2023-11-28 16:56:03,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",0.5890430000,97.92,USD,1.27073,1.46,"GBP",45.32,"GBP",,,,,,EOF6700946677,0.07,"GBP"
Market sell,2023-11-28 16:56:03,US5951121038,MU,"Micron Technology",0.8806630000,75.40,USD,1.27074,4.32,"GBP",52.17,"GBP",,,,,,EOF6700946669,0.08,"GBP"
Market sell,2023-11-28 16:56:04,US4592001014,IBM,"IBM",0.3862466000,155.50,USD,1.27067,3.34,"GBP",47.20,"GBP",,,,,,EOF6700946683,0.07,"GBP"
Market sell,2023-11-28 16:56:16,US8923313071,TM,"Toyota Motor",0.1336642000,187.16,USD,1.27067,1.51,"GBP",19.66,"GBP",,,,,,EOF6700946711,0.03,"GBP"
Market sell,2023-11-28 16:56:32,US9288541082,VLVLY,"Volvo",1.8869620000,23.02,USD,1.27077,2.36,"GBP",34.13,"GBP",,,,,,EOF6700946740,0.05,"GBP"
Interest on cash,2023-11-28 22:06:41.737,,,,,,,,,,0.04,"GBP",,,0.04,"GBP","Interest on cash",3f1bb98d-4abe-40cb-afd7-3fa03d75d6d4,,
Market sell,2023-11-29 08:00:13,DE0005190003,BMW,"Bayerische Motoren Werke",0.2560137000,94.08,EUR,1.15645,-1.90,"GBP",20.80,"GBP",,,,,,EOF6701824572,0.03,"GBP"
Market sell,2023-11-29 08:00:15,DE0007100000,MBG,"Mercedes-Benz",0.3017950000,58.00,EUR,1.15648,-3.04,"GBP",15.12,"GBP",,,,,,EOF6701824604,0.02,"GBP"
Market sell,2023-11-29 08:00:32,GB0030913577,BT,"BT Group",21.1052558000,122.05,GBX,100.00000,1.88,"GBP",25.76,"GBP",,,,,,EOF6701825119,,
Market sell,2023-11-29 08:00:32,IE00B810Q511,VUKE,"Vanguard FTSE 100 (Dist)",1.3396220000,32.45,GBP,1.00000,-0.53,"GBP",43.47,"GBP",,,,,,EOF6701825193,,
Market sell,2023-11-29 08:00:32,IE0005042456,ISF,"iShares Core FTSE 100 (Dist)",5.9758249000,727.90,GBX,100.00000,-0.50,"GBP",43.50,"GBP",,,,,,EOF6701825254,,
Market sell,2023-11-29 08:00:33,IE00BYWZ0333,RBOD,"iShares Automation & Robotics (Dist)",7.1706100000,7.93,USD,1.26994,0.86,"GBP",44.72,"GBP",,,,,,EOF6701825400,0.07,"GBP"
Market sell,2023-11-29 08:00:35,IE00B1XNHC34,INRG,"iShares Global Clean Energy (Dist)",5.6374117000,625.00,GBX,100.00000,-8.77,"GBP",35.23,"GBP",,,,,,EOF6701826238,,
Market sell,2023-11-29 08:00:36,IE00B3XXRP09,VUSA,"Vanguard S&P 500 (Dist)",0.6551260000,68.16,GBP,1.00000,0.66,"GBP",44.66,"GBP",,,,,,EOF6701826324,,
Market sell,2023-11-29 08:00:38,IE00B945VV12,VEUR,"Vanguard FTSE Developed Europe (Dist)",1.4383750000,30.57,GBP,1.00000,-0.03,"GBP",43.97,"GBP",,,,,,EOF6701826627,,
Market sell,2023-11-29 08:00:43,IE00B9F5YL18,VAPX,"Vanguard FTSE Developed Asia Pacific ex Japan (Dist)",2.4300670000,19.06,GBP,1.00000,-1.70,"GBP",46.30,"GBP",,,,,,EOF6701826884,,
Market sell,2023-11-29 08:00:44,IE00B3WJKG14,IUIT,"iShares S&P 500 Information Technology Sector (Acc)",2.5265810000,23.76,USD,1.27013,3.32,"GBP",47.18,"GBP",,,,,,EOF6701826902,0.07,"GBP"
Market sell,2023-11-29 08:00:51,US7960508882,SMSN,"Samsung Electronics",0.0263212900,1402.00,USD,1.27015,2.09,"GBP",29.01,"GBP",,,,,,EOF6701827002,0.04,"GBP"
Market sell,2023-11-29 08:02:37,DE0007664005,VOW,"Volkswagen",0.2272767000,117.05,EUR,1.15645,-4.27,"GBP",22.97,"GBP",,,,,,EOF6701827324,0.03,"GBP"
Market sell,2023-11-29 08:04:23,IE00B3RBWM25,VWRL,"Vanguard FTSE All-World (Dist)",0.4933052000,103.52,EUR,1.15651,0.23,"GBP",44.09,"GBP",,,,,,EOF6701827980,0.07,"GBP"
Market sell,2023-11-29 08:05:03,USY384721251,HYUD,"Hyundai Motor",0.4309150000,40.50,USD,1.27096,0.10,"GBP",13.71,"GBP",,,,,,EOF6701828684,0.02,"GBP"
Dividend (Dividend),2023-11-29 12:36:18,IE00B1XNHC34,INRG,"iShares Global Clean Energy (Dist)",5.6374117000,3.52,GBX,Not available,,,0.20,"GBP",0.00,GBX,,,,,,
Market sell,2023-11-29 13:33:41,IE00B3WJKG14,QDVE,"iShares S&P 500 Information Technology Sector (Acc)",8.0000000000,21.76,EUR,1.15584,9.94,"GBP",150.38,"GBP",,,,,,EOF6703454293,0.23,"GBP"
Market sell,2023-11-29 14:30:02,US5949181045,MSFT,"Microsoft",0.2000000000,383.54,USD,1.26935,8.67,"GBP",60.34,"GBP",,,,,,EOF6703458195,0.09,"GBP"
Withdrawal,2023-11-29 15:13:12.546,,,,,,,,,,1168.03,"GBP",,,,,,170394eb-b9ae-44bf-8d54-88b62394eddb,,
Withdrawal,2023-11-29 15:25:56.946,,,,,,,,,,400.00,"GBP",,,,,"Sent to Bank Account 07-04-36 / 05200325",41a9ab65-6eb4-4fa8-a914-fba5ae1b9ad4,,
Dividend (Dividend),2023-12-01 15:16:13,US4581401001,INTC,"Intel",1.6235770000,0.11,USD,Not available,,,0.14,"GBP",0.03,USD,,,,,,
Dividend (Dividend),2023-12-01 15:21:08,US3453708600,F,"Ford Motor",3.2507060000,0.13,USD,Not available,,,0.33,"GBP",0.07,USD,,,,,,
Dividend (Dividend),2023-12-04 13:01:24,US8923313071,TM,"Toyota Motor",0.1231668000,1.70,USD,Not available,,,0.16,"GBP",0.04,USD,,,,,,
Dividend (Dividend),2023-12-11 14:52:42,US4592001014,IBM,"IBM",0.3862466000,1.41,USD,Not available,,,0.43,"GBP",0.10,USD,,,,,,
Dividend (Dividend),2023-12-12 08:50:38,US8356993076,SONY,"Sony",0.2515570000,0.23,USD,Not available,,,0.05,"GBP",0.01,USD,,,,,,
Dividend (Dividend),2023-12-14 09:36:40,US5949181045,MSFT,"Microsoft",0.3843106000,0.64,USD,Not available,,,0.19,"GBP",0.04,USD,,,,,,